file_id,file_name,file_type,path,size,created_at,modified_at,status,domain,main_topic
F001,1%위대한기업은어떻게일하는가_본문.pdf,PDF,C:\000 자료 모음\09 심재우 저서,6.7MB,2014-10-06,2014-10-06,ready,business_leadership,조직창의성_혁신_리더십
F002,서적 4 - GE의 세일즈 노트.pdf,PDF,C:\000 자료 모음\09 심재우 저서,2.6MB,2026-01-16,2026-01-16,ready,sales_methodology,GE세일즈프로세스_13가지성공법칙
F003,서적 5 - GE의  변화리더십 101.pdf,PDF,C:\000 자료 모음\09 심재우 저서,1.7MB,2005-11-20,2005-11-20,ready,change_leadership,변화관리_리더십_잭웰치
F004,서적8-GE는 어떻게 수퍼급 인재를 만드는가.pdf,PDF,C:\000 자료 모음\09 심재우 저서,742KB,2006-07-03,2006-07-03,ready,talent_development,인재육성_교육프로그램_4E+V
F005,소통의신_완결본.pdf,PDF,C:\000 자료 모음\09 심재우 저서,6.4MB,2018-10-23,2018-10-23,ready,communication,소셜미디어_소통_페이스북
F006,서적12-타운미팅(저자교정용)1부_10부.hwp,HWP,C:\000 자료 모음\09 심재우 저서,6.0MB,2021-05-02,2021-05-02,ready,organizational_communication,타운미팅_조직소통
